Date,Time,Prediction,Confidence
2026-07-08,12:07:25,REAL,68.03
2026-07-08,12:07:26,REAL,63.49
2026-07-08,12:07:27,REAL,76.17
2026-07-08,12:07:28,REAL,81.58
2026-07-08,12:07:29,REAL,77.55
2026-07-08,12:07:30,REAL,61.70
2026-07-08,12:07:31,REAL,79.62
2026-07-08,12:12:27,REAL,81.88
2026-07-08,12:12:28,REAL,64.02
2026-07-08,12:12:29,REAL,61.99
2026-07-08,12:12:30,REAL,77.50
2026-07-08,12:12:31,REAL,74.39
2026-07-08,12:12:32,REAL,73.43
2026-07-08,12:12:33,REAL,61.72
2026-07-08,12:12:34,REAL,74.17
2026-07-08,12:12:35,REAL,75.45
2026-07-08,12:12:36,REAL,65.40
2026-07-08,12:12:37,REAL,76.47
2026-07-08,12:12:38,REAL,72.38
2026-07-08,12:12:39,REAL,68.25
2026-07-08,12:12:40,REAL,73.13
2026-07-08,12:15:54,REAL,68.34
2026-07-08,12:15:55,REAL,51.89
2026-07-08,12:15:56,REAL,55.60
2026-07-08,12:15:57,REAL,55.76
2026-07-08,12:15:58,REAL,66.11
2026-07-08,12:15:59,REAL,77.29
2026-07-08,12:16:00,REAL,68.24
2026-07-08,12:16:01,REAL,61.96
2026-07-08,12:16:02,REAL,67.72
2026-07-08,12:16:03,REAL,59.46
2026-07-14,11:21:39,REAL,64.09
2026-07-14,11:21:40,REAL,78.54
2026-07-14,11:21:41,REAL,75.79
2026-07-14,11:21:42,REAL,67.96
2026-07-14,11:21:43,REAL,75.71
2026-07-14,11:21:44,REAL,75.45
2026-07-14,11:21:45,REAL,82.37
2026-07-14,11:21:46,REAL,74.51
2026-07-14,11:21:48,REAL,59.16
2026-07-14,11:21:49,REAL,87.12
2026-07-14,11:21:50,REAL,78.19
2026-07-14,11:21:51,REAL,78.74
2026-07-14,11:21:52,REAL,69.24
2026-07-14,11:21:53,REAL,85.18
2026-07-14,11:21:54,REAL,63.94
2026-07-14,11:21:55,REAL,81.39
2026-07-14,11:21:56,REAL,73.80
2026-07-14,11:21:57,REAL,60.87
2026-07-14,11:21:59,REAL,65.72
